Data de Produção Acumulada,Cod. Ordem,Cod Recurso,Cod Produto,Qt. Total Acumulada Produzida até a data específica,Qt. Acumulada Refugada até a data específica,Qtd. Acumulada total Retrabalhada até a data específica,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo total de Massa Acumulada,Tempo Restante para Manutenção
2023-12-25,3105798,IJ-046,SA05780,584,50,35,1.0,PC,P212/1,1.3762573819004569,-365
2023-12-06,6364045,IJ-046,SA02961,928,7,47,1.0,PC,P212/1,1.25159095923879,-384
2023-04-22,3505887,IJ-118,SA02004,586,10,18,1.0,PC,P212/1,0.9981090740604129,-612
2023-04-18,7705169,IJ-117,SA05780,125,63,47,1.0,PC,P212/1,0.7541426315211798,-616
2023-03-09,3404486,IJ-118,SA05780,723,47,17,1.0,PC,N-142/67,0.7810389964495877,-656
2023-12-11,1615143,IJ-046,SA02961,812,95,37,1.0,PC,P212/1,0.9715290487814057,-379
2023-10-22,7559890,IJ-118,SA02004,388,56,26,1.0,PC,P212/1,0.6667956177380275,-429
2023-08-29,1764774,IJ-046,SA02004,59,98,9,1.0,PC,N-142/67,0.9796021256719234,-483
2023-09-01,4147086,IJ-117,SA05780,730,64,32,1.0,PC,P212/1,0.5472209233322538,-480
2023-02-17,3933051,IJ-046,SA05780,292,49,31,1.0,PC,N-142/67,1.072107359648132,-676
2023-08-26,3623606,IJ-117,SA02004,526,67,42,1.0,PC,N-142/67,0.7273633113404845,-486
2023-09-10,9449707,IJ-046,SA02004,486,78,45,1.0,PC,P212/1,0.8263988906730358,-471
2023-01-05,2910115,IJ-046,SA02961,335,40,35,1.0,PC,P212/1,1.4470261502877464,-719
2023-07-20,5174716,IJ-118,SA02961,491,10,49,1.0,PC,P212/1,0.7329906285418024,-523
2023-12-28,1495036,IJ-117,SA02961,961,87,39,1.0,PC,P212/1,0.7406731211347372,-362
2023-05-23,4325371,IJ-118,SA05780,882,8,12,1.0,PC,P212/1,0.580906004891702,-581
2023-04-22,9770241,IJ-118,SA02004,313,88,40,1.0,PC,N-142/67,0.9986867897598521,-612
2023-09-27,8028245,IJ-046,SA02961,274,30,42,1.0,PC,N-142/67,1.3130557280487551,-454
2023-06-04,3685438,IJ-046,SA02961,744,54,42,1.0,PC,N-142/67,0.7784842398199447,-569
2023-10-31,1534825,IJ-118,SA05780,150,84,21,1.0,PC,N-142/67,1.434733862623908,-420
2023-05-27,3964578,IJ-046,SA05780,748,83,42,1.0,PC,P212/1,1.3427743288230802,-577
2023-07-19,2809610,IJ-118,SA05780,192,90,6,1.0,PC,N-142/67,0.9949968586027872,-524
2023-08-14,5728838,IJ-118,SA02961,642,33,49,1.0,PC,P212/1,1.297400278540577,-498
2023-09-13,7221307,IJ-118,SA05780,316,53,41,1.0,PC,P212/1,1.4541066974870795,-468
2023-10-02,7265233,IJ-118,SA05780,587,42,18,1.0,PC,N-142/67,1.3484897614570648,-449
2023-02-15,6968507,IJ-046,SA02004,440,82,25,1.0,PC,N-142/67,1.2064600889946893,-678
2023-08-29,7125987,IJ-046,SA02961,867,11,12,1.0,PC,N-142/67,1.4399568814627797,-483
2023-06-02,3673080,IJ-117,SA02004,928,31,14,1.0,PC,P212/1,0.8148307698910215,-571
2023-12-02,8380354,IJ-046,SA02004,557,82,11,1.0,PC,N-142/67,1.1051594208619127,-388
2023-03-04,4969555,IJ-117,SA02961,984,96,31,1.0,PC,P212/1,1.122993917683457,-661
2023-01-03,9382365,IJ-117,SA02004,462,76,24,1.0,PC,N-142/67,1.0286802891988205,-721
2023-10-05,9278158,IJ-046,SA02004,776,10,48,1.0,PC,P212/1,1.109493827988055,-446
2023-09-19,2966472,IJ-046,SA02004,674,53,36,1.0,PC,P212/1,0.7222420809911797,-462
2023-11-30,7761180,IJ-117,SA05780,793,30,6,1.0,PC,N-142/67,1.4549767315749291,-390
2023-09-25,3321882,IJ-118,SA02004,161,90,41,1.0,PC,N-142/67,0.6132709254967544,-456
2023-10-11,7299878,IJ-046,SA02004,241,64,3,1.0,PC,N-142/67,1.0904572709709406,-440
2023-11-11,6059710,IJ-118,SA05780,642,43,41,1.0,PC,P212/1,1.1608172728100534,-409
2023-11-03,9142621,IJ-046,SA05780,88,67,17,1.0,PC,N-142/67,0.7372344746798289,-417
2023-01-13,8904825,IJ-117,SA02004,993,60,26,1.0,PC,P212/1,1.2190810875609632,-711
2023-09-14,1973593,IJ-046,SA02004,747,35,22,1.0,PC,P212/1,0.6385684041257811,-467
2023-05-08,4654301,IJ-046,SA02004,967,3,21,1.0,PC,P212/1,1.4634630588890738,-596
2023-05-17,2226389,IJ-046,SA02961,611,15,30,1.0,PC,N-142/67,1.111257040839746,-587
2023-11-16,2248914,IJ-118,SA02004,18,84,34,1.0,PC,P212/1,0.9939727644680021,-404
2023-03-03,5468828,IJ-118,SA02961,361,68,23,1.0,PC,N-142/67,0.9385264442460919,-662
2023-07-05,9810774,IJ-046,SA05780,327,44,5,1.0,PC,N-142/67,0.873362643222306,-538
2023-01-18,3385628,IJ-046,SA02961,762,45,1,1.0,PC,N-142/67,1.0574672234763727,-706
2023-10-02,3822757,IJ-118,SA02961,361,18,8,1.0,PC,P212/1,1.4551165102124792,-449
2023-12-22,9095803,IJ-117,SA02004,63,94,47,1.0,PC,P212/1,1.2646363911918337,-368
2023-05-14,2864718,IJ-117,SA05780,589,24,7,1.0,PC,N-142/67,0.7283382354418989,-590
2023-01-04,1423284,IJ-117,SA02961,727,61,17,1.0,PC,P212/1,0.7067404742098877,-720
2023-01-14,4577121,IJ-117,SA02004,410,36,43,1.0,PC,N-142/67,0.6545327344617573,-710
2023-02-26,8297045,IJ-117,SA02961,134,46,46,1.0,PC,P212/1,1.187452954035246,-667
2023-06-07,6368962,IJ-117,SA05780,142,29,33,1.0,PC,P212/1,1.0179495610117226,-566
2023-10-28,6004091,IJ-117,SA02961,386,96,7,1.0,PC,P212/1,1.4397961557031789,-423
2023-07-20,8274432,IJ-117,SA02004,389,7,42,1.0,PC,N-142/67,1.156885858754157,-523
2023-10-27,2633279,IJ-118,SA02961,602,90,37,1.0,PC,N-142/67,1.153933362494668,-424
2023-08-13,6292830,IJ-118,SA02961,912,18,26,1.0,PC,N-142/67,0.6956771682672094,-499
2023-11-05,2820326,IJ-117,SA02004,730,11,34,1.0,PC,N-142/67,0.7226712483202931,-415
2023-11-16,4497142,IJ-118,SA02004,367,30,47,1.0,PC,P212/1,1.4225437992082952,-404
2023-01-12,5335580,IJ-118,SA02961,251,74,18,1.0,PC,P212/1,1.4592659993369839,-712
2023-04-26,2027701,IJ-046,SA02961,92,23,37,1.0,PC,P212/1,0.9012750928256408,-608
2023-07-23,1640263,IJ-118,SA05780,832,41,26,1.0,PC,N-142/67,1.1493398384828,-520
2023-02-08,1330879,IJ-046,SA05780,23,27,17,1.0,PC,P212/1,1.4285014757281296,-685
2023-11-27,2700340,IJ-118,SA02961,736,18,49,1.0,PC,P212/1,0.7887775126752522,-393
2023-07-06,4763001,IJ-117,SA02961,738,28,44,1.0,PC,N-142/67,0.6399401267097096,-537
2023-12-05,9876944,IJ-046,SA05780,638,72,16,1.0,PC,N-142/67,1.1040279678674723,-385
2023-10-15,7686793,IJ-046,SA05780,714,39,39,1.0,PC,N-142/67,1.123076522949213,-436
2023-11-15,2047017,IJ-117,SA02961,510,37,16,1.0,PC,N-142/67,0.8347849851533266,-405
2023-03-19,8088440,IJ-117,SA02004,295,71,3,1.0,PC,N-142/67,0.9307341292841528,-646
2023-07-15,9963674,IJ-118,SA02004,745,39,8,1.0,PC,P212/1,1.440520669044314,-528
2023-07-21,4905434,IJ-046,SA02961,408,73,39,1.0,PC,N-142/67,0.9228646481222077,-522
2023-05-10,7279706,IJ-117,SA05780,320,52,49,1.0,PC,N-142/67,0.9348927624933449,-594
2023-06-26,2381455,IJ-046,SA05780,994,11,44,1.0,PC,P212/1,1.121499101593955,-547
2023-07-16,4890513,IJ-117,SA05780,542,66,48,1.0,PC,P212/1,0.7492620374568539,-527
2023-06-14,5932703,IJ-118,SA05780,17,30,16,1.0,PC,P212/1,0.7211943109407942,-559
2023-09-11,5172862,IJ-046,SA05780,922,24,6,1.0,PC,N-142/67,0.9854143808208292,-470
2023-10-24,5525046,IJ-046,SA02004,993,86,2,1.0,PC,P212/1,1.4323737565726569,-427
2023-06-07,5094705,IJ-046,SA05780,243,93,44,1.0,PC,P212/1,0.5611975680602468,-566
2023-06-09,3078478,IJ-117,SA02004,103,41,9,1.0,PC,N-142/67,0.6276214550988861,-564
2023-08-05,2027515,IJ-117,SA05780,302,52,37,1.0,PC,P212/1,1.2500792121303523,-507
2023-09-06,8425019,IJ-117,SA05780,327,37,24,1.0,PC,N-142/67,1.2987858017691578,-475
2023-05-21,2661437,IJ-117,SA02961,177,95,13,1.0,PC,N-142/67,0.5078795759592315,-583
2023-04-19,3923934,IJ-046,SA02004,363,29,31,1.0,PC,N-142/67,0.8361880516787549,-615
2023-12-27,4276003,IJ-046,SA05780,501,4,41,1.0,PC,P212/1,0.7067061185119756,-363
2023-11-02,1166618,IJ-117,SA05780,321,65,15,1.0,PC,N-142/67,0.5889331701606781,-418
2023-08-22,8211286,IJ-118,SA02961,902,16,4,1.0,PC,P212/1,1.2936664603867092,-490
2023-06-24,5225494,IJ-117,SA02004,286,98,7,1.0,PC,P212/1,0.5615552091721149,-549
2023-05-09,4315165,IJ-046,SA02961,268,77,38,1.0,PC,N-142/67,0.9280542068261303,-595
2023-07-16,9189394,IJ-118,SA05780,869,83,4,1.0,PC,P212/1,1.47566343841038,-527
2023-05-28,2550094,IJ-118,SA02004,846,76,2,1.0,PC,N-142/67,1.0194990482003192,-576
2023-05-24,5457873,IJ-117,SA02004,301,48,38,1.0,PC,P212/1,0.6107557301736191,-580
2023-02-07,2310421,IJ-118,SA02961,155,84,6,1.0,PC,N-142/67,1.0805936793485205,-686
2023-05-06,7672472,IJ-046,SA02004,109,72,29,1.0,PC,P212/1,0.5724829854342619,-598
2023-01-28,2401465,IJ-117,SA05780,186,39,14,1.0,PC,N-142/67,0.524045541477015,-696
2023-06-08,8903765,IJ-117,SA05780,214,76,39,1.0,PC,P212/1,0.593307813681501,-565
2023-06-05,9159969,IJ-046,SA02961,552,74,11,1.0,PC,N-142/67,0.5751286224170371,-568
2023-01-14,1027741,IJ-118,SA05780,967,37,48,1.0,PC,N-142/67,1.0541714179307409,-710
2023-11-29,8342482,IJ-118,SA02004,948,29,2,1.0,PC,N-142/67,0.856036767618946,-391
2023-08-29,5776874,IJ-046,SA02961,43,80,36,1.0,PC,N-142/67,1.0107502019240298,-483
2023-08-01,5509262,IJ-117,SA05780,613,71,38,1.0,PC,P212/1,1.441244357769249,-511
2023-08-18,8125190,IJ-117,SA02004,990,42,2,1.0,PC,N-142/67,0.5734602257758583,-494
2023-08-03,6677810,IJ-117,SA02961,119,13,44,1.0,PC,N-142/67,1.3935762729357164,-509
2023-07-08,7621070,IJ-046,SA05780,27,13,45,1.0,PC,N-142/67,0.8951155660529823,-535
2023-06-09,7156264,IJ-118,SA02961,844,7,45,1.0,PC,N-142/67,1.110627689448163,-564
2023-03-28,2142618,IJ-046,SA05780,943,86,30,1.0,PC,P212/1,1.4850097202255674,-637
2023-04-25,4085944,IJ-117,SA02004,760,58,24,1.0,PC,N-142/67,1.4815964545784586,-609
2023-06-23,6551293,IJ-046,SA02961,223,42,16,1.0,PC,N-142/67,1.3273628219097848,-550
2023-10-01,4879704,IJ-117,SA02004,900,22,8,1.0,PC,N-142/67,1.0316019313032871,-450
2023-05-16,9629530,IJ-118,SA02961,503,69,39,1.0,PC,P212/1,0.8614621860253605,-588
2023-04-01,6966095,IJ-118,SA02004,848,95,31,1.0,PC,P212/1,1.0733239128877097,-633
2023-09-08,3778199,IJ-117,SA02961,386,71,13,1.0,PC,N-142/67,1.3638172632345165,-473
2023-03-09,1352185,IJ-118,SA02961,588,76,9,1.0,PC,N-142/67,1.4317674717849567,-656
2023-11-19,1611819,IJ-046,SA02004,703,68,5,1.0,PC,N-142/67,0.8654831062212062,-401
2023-05-26,6378223,IJ-046,SA02961,279,37,14,1.0,PC,P212/1,1.079208184578801,-578
2023-03-13,2276761,IJ-046,SA05780,148,41,5,1.0,PC,P212/1,0.8074882395914255,-652
2023-02-12,8077404,IJ-118,SA02961,200,10,12,1.0,PC,N-142/67,1.3681301360583533,-681
2023-03-05,5105800,IJ-118,SA05780,775,59,7,1.0,PC,P212/1,0.946714355068711,-660
2023-09-16,5420872,IJ-117,SA02004,891,62,12,1.0,PC,N-142/67,1.2185342762022033,-465
2023-10-19,3311388,IJ-117,SA02004,12,33,36,1.0,PC,N-142/67,1.114799960444515,-432
2023-05-03,7476158,IJ-117,SA02004,585,82,2,1.0,PC,P212/1,1.3816979853881701,-601
2023-02-04,7446348,IJ-117,SA02004,97,13,9,1.0,PC,N-142/67,1.0737936760253421,-689
2023-06-02,6959682,IJ-118,SA02961,194,52,6,1.0,PC,N-142/67,1.0513554166432386,-571
2023-08-14,6100689,IJ-046,SA05780,131,53,23,1.0,PC,P212/1,0.5503585952744806,-498
2023-07-04,5316816,IJ-046,SA02961,67,96,4,1.0,PC,P212/1,1.4869751853389368,-539
2023-05-20,2929396,IJ-118,SA02004,458,62,34,1.0,PC,N-142/67,1.3847728123694938,-584
2023-07-01,8137106,IJ-118,SA05780,141,74,9,1.0,PC,P212/1,1.1984208054989982,-542
2023-05-27,6905055,IJ-046,SA02961,408,62,4,1.0,PC,P212/1,0.7608996334121861,-577
2023-05-01,4509869,IJ-117,SA05780,40,18,5,1.0,PC,N-142/67,1.0143397538451258,-603
2023-06-28,9886433,IJ-046,SA02004,990,50,28,1.0,PC,P212/1,1.183718332020854,-545
2023-06-02,5856651,IJ-046,SA05780,165,48,41,1.0,PC,N-142/67,0.6676999549371171,-571
2023-02-15,5100134,IJ-117,SA05780,131,71,40,1.0,PC,N-142/67,0.6179228464343404,-678
2023-08-30,2926974,IJ-117,SA02004,67,34,5,1.0,PC,P212/1,0.9614665264193831,-482
2023-07-29,6952464,IJ-046,SA02004,17,2,33,1.0,PC,N-142/67,0.84388185942562,-514
2023-04-23,9646148,IJ-046,SA05780,422,75,35,1.0,PC,P212/1,0.977372062587264,-611
2023-11-30,7141242,IJ-118,SA02961,21,83,1,1.0,PC,N-142/67,0.660663903157458,-390
2023-11-10,5003328,IJ-046,SA02961,986,3,36,1.0,PC,P212/1,1.4986809700790396,-410
2023-07-03,8146979,IJ-117,SA02961,653,64,8,1.0,PC,N-142/67,0.7700645196685143,-540
2023-06-21,5762878,IJ-046,SA05780,814,29,18,1.0,PC,P212/1,1.073581092568228,-552
2023-08-25,5754620,IJ-117,SA02961,687,57,32,1.0,PC,N-142/67,1.2802446579780051,-487
2023-03-26,7994436,IJ-118,SA05780,35,53,42,1.0,PC,N-142/67,1.3854498194782545,-639
2023-01-06,5562253,IJ-046,SA05780,501,8,48,1.0,PC,N-142/67,0.86434645795645,-718
2023-09-08,8371787,IJ-117,SA02961,973,47,36,1.0,PC,P212/1,0.5375119741758947,-473
2023-06-05,8549729,IJ-046,SA02004,405,43,48,1.0,PC,P212/1,1.1077039270992572,-568
2023-03-10,4768035,IJ-046,SA05780,502,22,49,1.0,PC,N-142/67,1.0124070040479465,-655
2023-03-25,7079620,IJ-118,SA02961,490,33,38,1.0,PC,N-142/67,1.188137368986234,-640
2023-10-10,5992197,IJ-046,SA02004,141,99,41,1.0,PC,P212/1,1.1299644294137736,-441
2023-02-27,6083419,IJ-046,SA05780,270,33,11,1.0,PC,N-142/67,1.3987435005683757,-666
2023-03-01,7564860,IJ-117,SA02004,952,37,44,1.0,PC,P212/1,0.8401986236862187,-664
2023-08-31,9791452,IJ-117,SA05780,63,3,16,1.0,PC,P212/1,0.9939197838908296,-481
2023-01-03,4720393,IJ-117,SA02004,713,21,30,1.0,PC,P212/1,1.0545826638921252,-721
2023-11-16,1078664,IJ-117,SA05780,445,69,37,1.0,PC,P212/1,0.5017648368461228,-404
2023-09-21,6377260,IJ-117,SA02004,553,62,36,1.0,PC,P212/1,1.1250314813653028,-460
2023-06-22,9600331,IJ-118,SA05780,480,65,29,1.0,PC,P212/1,1.0028837456636568,-551
2023-02-04,2056196,IJ-046,SA05780,663,54,13,1.0,PC,N-142/67,0.6254040021785716,-689
2023-02-09,9775239,IJ-046,SA02004,298,80,25,1.0,PC,N-142/67,0.8532917643957226,-684
2023-12-30,3951523,IJ-117,SA05780,25,95,36,1.0,PC,N-142/67,0.71759863662278,-360
2023-06-11,8860302,IJ-046,SA02004,160,8,15,1.0,PC,P212/1,1.0878112428040623,-562
2023-08-12,2699230,IJ-117,SA02004,15,68,31,1.0,PC,P212/1,0.5740060058133081,-500
2023-06-18,7083284,IJ-117,SA05780,657,97,47,1.0,PC,N-142/67,0.5129929430420481,-555
2023-02-22,4349429,IJ-118,SA02961,988,94,31,1.0,PC,N-142/67,0.8636093861166713,-671
2023-06-30,2929675,IJ-117,SA02961,431,43,49,1.0,PC,P212/1,0.9769313291137286,-543
2023-08-05,3036757,IJ-046,SA05780,801,79,34,1.0,PC,P212/1,0.8829329996962137,-507
2023-07-01,7521924,IJ-046,SA05780,991,50,28,1.0,PC,N-142/67,1.2371723985630005,-542
2023-05-17,9626088,IJ-117,SA02004,920,4,39,1.0,PC,P212/1,1.131205453589581,-587
2023-01-23,4016984,IJ-117,SA05780,266,38,5,1.0,PC,P212/1,1.1931783662189315,-701
2023-07-09,3365367,IJ-117,SA05780,343,32,21,1.0,PC,P212/1,1.1290656237923637,-534
2023-08-08,8873345,IJ-117,SA02961,107,2,35,1.0,PC,P212/1,1.1073073173917325,-504
2023-07-16,4993709,IJ-118,SA02961,152,22,48,1.0,PC,P212/1,1.1019948600779683,-527
2023-06-15,7885652,IJ-118,SA02961,200,84,15,1.0,PC,N-142/67,1.1539421958787894,-558
2023-12-24,2524152,IJ-117,SA02004,979,83,16,1.0,PC,N-142/67,1.2731294554308463,-366
2023-11-13,1292239,IJ-117,SA02961,719,67,44,1.0,PC,N-142/67,0.6211201795934406,-407
2023-12-25,6990563,IJ-118,SA02004,113,85,32,1.0,PC,P212/1,1.319695993831572,-365
2023-09-16,2857011,IJ-118,SA02961,814,38,40,1.0,PC,P212/1,1.2364906124360662,-465
2023-01-09,3611790,IJ-046,SA02961,149,22,41,1.0,PC,P212/1,1.4853759107366862,-715
2023-05-29,7007152,IJ-118,SA02961,288,90,47,1.0,PC,P212/1,0.6893251603016098,-575
2023-06-17,8974117,IJ-046,SA02961,523,38,41,1.0,PC,P212/1,1.4793498632775433,-556
2023-02-24,6460061,IJ-118,SA02004,694,73,35,1.0,PC,P212/1,0.7373528499133997,-669
2023-04-07,7022349,IJ-046,SA05780,151,55,13,1.0,PC,P212/1,1.1637745681179443,-627
2023-12-24,3502838,IJ-117,SA02961,353,81,4,1.0,PC,P212/1,0.586612899614534,-366
2023-08-23,1462524,IJ-118,SA02004,171,8,31,1.0,PC,P212/1,0.8575431586982835,-489
2023-07-14,5123010,IJ-118,SA02004,142,39,1,1.0,PC,N-142/67,1.3177990323483972,-529
2023-06-07,7897240,IJ-118,SA02961,61,5,12,1.0,PC,P212/1,1.1253273705361528,-566
2023-07-27,7479762,IJ-117,SA02961,487,65,17,1.0,PC,N-142/67,1.0165574104950208,-516
2023-08-03,2542237,IJ-046,SA05780,748,62,11,1.0,PC,P212/1,0.5572454012762024,-509
2023-01-31,8344816,IJ-118,SA05780,413,71,3,1.0,PC,P212/1,1.3712128440681592,-693
2023-07-28,8222109,IJ-046,SA02961,56,61,47,1.0,PC,P212/1,1.0746538350062742,-515
2023-06-19,7358844,IJ-118,SA05780,768,34,25,1.0,PC,P212/1,1.4657456639639022,-554
2023-07-23,3314588,IJ-046,SA05780,224,60,43,1.0,PC,P212/1,0.538372748194085,-520
2023-11-27,6935259,IJ-118,SA05780,267,93,41,1.0,PC,P212/1,1.3417716920897003,-393
2023-12-02,9692552,IJ-046,SA02004,791,68,8,1.0,PC,P212/1,1.0575947184392498,-388
2023-04-17,2762035,IJ-117,SA02004,461,94,16,1.0,PC,N-142/67,0.5975351360568504,-617
2023-06-19,5636060,IJ-118,SA02004,374,94,12,1.0,PC,N-142/67,0.6262797003564565,-554
2023-11-29,7150500,IJ-117,SA05780,165,93,23,1.0,PC,N-142/67,0.8841798772876122,-391
2023-03-07,2911991,IJ-046,SA02004,707,14,35,1.0,PC,P212/1,0.5590436147057211,-658
2023-06-28,8256551,IJ-118,SA02004,331,43,30,1.0,PC,N-142/67,0.7175814634507077,-545
2023-05-14,3705237,IJ-046,SA05780,405,70,1,1.0,PC,P212/1,1.3331934116986943,-590
2023-05-30,1011381,IJ-117,SA02004,960,92,48,1.0,PC,N-142/67,1.2232677492295052,-574
2023-02-22,6205544,IJ-118,SA02961,337,24,38,1.0,PC,N-142/67,0.6611792571839862,-671
2023-01-01,3995432,IJ-117,SA02961,174,3,7,1.0,PC,P212/1,0.9957662023601105,-723
2023-11-16,7217626,IJ-118,SA02004,870,18,32,1.0,PC,P212/1,0.7597662927403441,-404
2023-08-30,8596982,IJ-118,SA02961,499,86,47,1.0,PC,N-142/67,0.5946157866802543,-482
2023-05-27,5639151,IJ-118,SA02004,216,14,29,1.0,PC,N-142/67,1.4345132358383799,-577
2023-08-09,3418008,IJ-046,SA05780,802,84,46,1.0,PC,P212/1,0.9264765576268749,-503
2023-07-11,6975135,IJ-117,SA02004,24,34,43,1.0,PC,P212/1,0.8663556117425234,-532
2023-04-22,5277465,IJ-046,SA02961,970,88,12,1.0,PC,N-142/67,0.8510672875105898,-612
2023-11-16,2286217,IJ-046,SA05780,905,7,44,1.0,PC,N-142/67,0.6534919079920234,-404
2023-07-19,5466377,IJ-117,SA02004,175,25,3,1.0,PC,P212/1,1.0888274735880206,-524
2023-08-13,1063409,IJ-046,SA05780,116,43,15,1.0,PC,N-142/67,1.2949493255291125,-499
2023-12-17,5491585,IJ-118,SA05780,20,27,19,1.0,PC,N-142/67,1.3400700391336173,-373
2023-12-05,4175506,IJ-118,SA05780,224,30,26,1.0,PC,N-142/67,1.0627856907441795,-385
2023-07-12,4184602,IJ-118,SA02961,255,87,29,1.0,PC,P212/1,0.9703470793744463,-531
2023-06-09,1518855,IJ-117,SA05780,52,92,16,1.0,PC,N-142/67,0.884376924750598,-564
2023-11-17,5261186,IJ-118,SA02961,769,67,34,1.0,PC,N-142/67,1.2526223618826422,-403
2023-07-27,6269484,IJ-046,SA05780,342,33,32,1.0,PC,N-142/67,1.0203297770631359,-516
2023-08-04,5232475,IJ-046,SA02004,228,89,25,1.0,PC,N-142/67,1.2586584782867982,-508
2023-04-15,6433598,IJ-118,SA02961,1,12,18,1.0,PC,N-142/67,0.6284804839053512,-619
2023-09-30,7901727,IJ-046,SA02961,814,87,25,1.0,PC,P212/1,0.7765360167427311,-451
2023-04-01,3142628,IJ-117,SA02961,844,59,20,1.0,PC,P212/1,0.9296396729594265,-633
